City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
109,Padang,-0.9492,100.3543,23.03,70,96,1.19,overcast clouds,ID
110,Macapa,0.0389,-51.0664,26.99,83,40,3.09,scattered clouds,BR
111,Ayagoz,47.9714,80.4392,12.05,78,84,9.29,broken clouds,KZ
112,Aksu,41.1231,80.2644,16.69,20,70,1.9,broken clouds,CN
113,Mandiana,10.6333,-8.6833,30.01,43,83,4.2,broken clouds,GN
114,Tilichiki,60.4667,166.1,-7.6,90,100,2.75,overcast clouds,RU
115,Antofagasta,-23.65,-70.4,16.6,81,3,1.53,clear sky,CL
116,Neiafu,-18.65,-173.9833,30.38,70,40,4.12,scattered clouds,TO
117,Alice Springs,-23.7,133.8833,20.75,35,0,1.54,clear sky,AU
118,Saldanha,-33.0117,17.9442,13.03,70,1,8.05,clear sky,ZA
119,Lavrentiya,65.5833,-171.0,-19.28,74,91,2.17,overcast clouds,RU
120,Vestmannaeyjar,63.4427,-20.2734,1.59,73,95,1.62,light snow,IS
121,Kahului,20.8947,-156.47,29.01,45,20,9.77,few clouds,US
122,Arman,59.7,150.1667,-3.88,81,100,2.26,overcast clouds,RU
123,Albany,42.6001,-73.9662,8.3,92,100,2.68,moderate rain,US
124,Kemi,65.8596,24.8228,-3.13,86,0,4.12,clear sky,FI
125,Shingu,33.7333,135.9833,17.18,45,0,0.16,clear sky,JP
126,Cavaillon,43.8312,5.0359,15.66,67,0,3.6,clear sky,FR
127,Miyako,39.6367,141.9525,6.99,63,13,6.58,few clouds,JP
128,Butte,39.6499,-121.5677,31.12,15,82,1.74,broken clouds,US
129,Nome,64.5011,-165.4064,-18.24,56,45,4.54,scattered clouds,US
130,Mahebourg,-20.4081,57.7,26.16,78,40,3.6,scattered clouds,MU
131,Batagay-Alyta,67.8006,130.4114,-14.34,78,46,0.97,scattered clouds,RU
132,Pevek,69.7008,170.3133,-18.43,82,97,3.64,overcast clouds,RU
133,Eyl,7.9803,49.8164,25.98,79,33,3.81,scattered clouds,SO
134,Faya,18.3851,42.4509,15.06,10,0,2.03,clear sky,SA
135,Belmonte,-15.8631,-38.8828,24.81,80,0,2.83,clear sky,BR
136,Acurenam,1.0322,10.6488,21.08,99,48,2.06,scattered clouds,GQ
137,Bintulu,3.1667,113.0333,24.23,88,40,1.54,scattered clouds,MY
138,Jeffersonville,38.2776,-85.7372,11.12,52,100,6.69,overcast clouds,US
139,Kudahuvadhoo,2.6708,72.8944,28.5,70,63,1.73,broken clouds,MV
140,Lebu,-37.6167,-73.65,13.47,95,58,4.36,broken clouds,CL
141,Tiksi,71.6872,128.8694,-20.31,98,65,0.34,broken clouds,RU
142,Ocampo,21.65,-101.5,16.86,35,83,9.73,broken clouds,MX
143,Barrow,71.2906,-156.7887,-14.99,72,20,1.54,few clouds,US
144,Katsuura,35.1333,140.3,14.98,61,1,3.42,clear sky,JP
145,Castro,-24.7911,-50.0119,17.01,95,100,2.17,moderate rain,BR
146,Bambui,-20.0064,-45.9769,20.94,86,27,0.86,scattered clouds,BR
147,Surt,31.2089,16.5887,15.5,74,1,6.21,clear sky,LY
148,Bako,5.7833,36.5667,19.42,52,89,1.94,overcast clouds,ET
149,Belize,17.25,-88.75,29.18,76,14,2.97,few clouds,BZ
150,Walvis Bay,-22.9575,14.5053,14.49,82,0,3.6,clear sky,NA
151,Ketchikan,55.3422,-131.6461,8.26,71,75,3.6,broken clouds,US
152,Tessalit,20.1986,1.0114,28.96,12,0,4.67,clear sky,ML
153,Hualmay,-11.0964,-77.6139,20.64,84,91,4.79,overcast clouds,PE
154,Nikolskoye,59.7035,30.7861,5.4,99,100,3.49,overcast clouds,RU
155,Axim,4.8699,-2.2405,27.06,85,96,2.98,overcast clouds,GH
156,Payo,-3.7508,103.6372,22.4,93,97,0.69,overcast clouds,ID
157,Mandalgovi,45.7625,106.2708,9.19,32,85,8.25,overcast clouds,MN
158,Leshukonskoye,64.8989,45.7622,-3.43,95,94,1.83,overcast clouds,RU
159,East London,-33.0153,27.9116,15.1,66,11,5.74,few clouds,ZA
160,Esperance,-33.8667,121.9,15.91,50,42,8.4,scattered clouds,AU
161,Shizunai,42.3339,142.3669,3.56,71,63,7.91,broken clouds,JP
162,Meulaboh,4.1363,96.1285,24.19,84,96,1.31,overcast clouds,ID
163,Winston,28.0317,-82.0148,22.77,79,40,3.13,scattered clouds,US
164,Yulara,-25.2406,130.9889,19.91,37,0,5.66,clear sky,AU
165,Ilulissat,69.2167,-51.1,-15.97,94,58,1.82,broken clouds,GL
166,Barabai,-2.5833,115.3833,24.65,95,82,0.62,moderate rain,ID
167,Riviere-Au-Renard,48.9957,-64.3971,3.16,92,29,1.39,scattered clouds,CA
168,Palma,39.5694,2.6502,15.05,71,0,2.68,clear sky,ES
169,Tombouctou,20.0,-3.0,28.54,14,7,6.67,clear sky,ML
170,Tanete,-3.9443,119.7848,25.88,87,86,0.66,overcast clouds,ID
171,Yumen,40.2833,97.2,13.51,16,5,5.75,clear sky,CN
172,Paamiut,61.994,-49.6678,-3.92,85,75,7.31,broken clouds,GL
173,Necochea,-38.5473,-58.7368,15.2,81,96,5.62,overcast clouds,AR
174,Dzilam Gonzalez,21.2833,-88.9333,26.42,85,59,4.78,broken clouds,MX
175,Suhbaatar,50.2314,106.2078,6.27,56,76,3.29,broken clouds,MN
176,Shawville,45.6001,-76.4827,7.68,97,100,2.71,light rain,CA
177,Zambezi,-13.5432,23.1047,18.24,97,98,1.72,light rain,ZM
178,Goose Creek,32.981,-80.0326,22.94,50,12,1.79,few clouds,US
179,Mar Del Plata,-38.0023,-57.5575,17.27,89,75,5.36,broken clouds,AR
180,Taoudenni,22.6783,-3.9836,28.0,10,0,4.68,clear sky,ML
181,El Salto,20.3333,-104.5,26.6,25,83,3.69,broken clouds,MX
182,Savannakhet,16.566,104.751,21.89,53,94,4.71,overcast clouds,LA
183,Den Helder,52.9599,4.7593,4.99,84,75,11.18,drizzle,NL
184,Rio Grande,-32.035,-52.0986,20.53,87,100,4.95,overcast clouds,BR
185,Tucurui,-3.7661,-49.6725,24.08,94,60,1.1,broken clouds,BR
186,Vila Velha,-20.3297,-40.2925,24.97,83,75,3.6,broken clouds,BR
187,Bredasdorp,-34.5322,20.0403,12.93,78,11,2.23,few clouds,ZA
188,Cabo San Lucas,22.8909,-109.9124,29.78,60,1,4.14,clear sky,MX
189,Codrington,-38.2667,141.9667,18.82,64,3,3.99,clear sky,AU
190,Nkoteng,4.5167,12.0333,22.75,88,58,2.24,broken clouds,CM
191,Aswan,24.0934,32.907,30.61,12,0,3.09,clear sky,EG
192,Beloha,-25.1667,45.05,23.56,87,36,2.05,scattered clouds,MG
193,Dingle,10.9995,122.6711,24.65,88,100,3.62,heavy intensity rain,PH
194,Guangyuan,32.442,105.823,16.47,74,9,0.61,clear sky,CN
195,Itacare,-14.2775,-38.9967,24.77,83,1,2.55,clear sky,BR
196,Bull Savanna,17.8868,-77.5902,24.78,79,82,4.66,broken clouds,JM
