City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
75,Lorengau,PG,2022-03-31 21:27:53,-2.0226,147.2712,300.28,80,97,5.94
76,Laguna,US,2022-03-31 21:27:54,38.421,-121.4238,295.31,42,0,4.12
77,Butaritari,KI,2022-03-31 21:27:54,3.0707,172.7902,300.38,80,28,7.1
78,Bimbo,CF,2022-03-31 21:27:54,4.2567,18.4158,301.39,49,44,1.34
79,Mehamn,NO,2022-03-31 21:27:55,71.0357,27.8492,270.1,71,100,3.59
80,Hailar,CN,2022-03-31 21:27:55,49.2,119.7,261.47,66,69,2.92
81,Hermanus,ZA,2022-03-31 21:27:56,-34.4187,19.2345,290.26,68,96,4.34
82,Porto Empedocle,IT,2022-03-31 21:26:59,37.2934,13.5264,286.66,94,55,3.69
83,Lompoc,US,2022-03-31 21:27:56,34.6391,-120.4579,294.65,70,0,8.75
84,Zaidpur,IN,2022-03-31 21:27:57,26.8333,81.3333,299.19,23,0,1.69
85,Tautira,PF,2022-03-31 21:27:57,-17.7333,-149.15,300.48,70,45,4.81
86,Vardo,NO,2022-03-31 21:27:58,70.3705,31.1107,270.43,64,100,6.08
87,Katsuura,JP,2022-03-31 21:27:58,35.1333,140.3,278.98,96,100,12.28
88,Coihaique,CL,2022-03-31 21:24:25,-45.5752,-72.0662,288.49,58,40,2.06
89,Mosquera,CO,2022-03-31 21:27:58,4.7059,-74.2302,291.2,55,40,3.6
90,New Norfolk,AU,2022-03-31 21:27:59,-42.7826,147.0587,284.87,71,100,0.77
91,Kaitangata,NZ,2022-03-31 21:28:59,-46.2817,169.8464,282.92,63,100,1.35
92,Yiyang,CN,2022-03-31 21:28:59,28.5892,112.3283,284.49,93,100,5.0
93,Hithadhoo,MV,2022-03-31 21:28:59,-0.6,73.0833,301.06,73,5,3.24
94,Graaff-Reinet,ZA,2022-03-31 21:29:00,-32.2522,24.5308,286.99,96,84,3.98
95,Kapaa,US,2022-03-31 21:29:00,22.0752,-159.319,299.37,81,75,6.69
96,Kristiansund,NO,2022-03-31 21:29:00,63.1115,7.732,273.51,86,75,1.03
97,Tasiilaq,GL,2022-03-31 21:29:00,65.6145,-37.6368,273.24,98,100,2.23
98,Arraial Do Cabo,BR,2022-03-31 21:29:01,-22.9661,-42.0278,299.13,88,40,5.14
99,Ramshir,IR,2022-03-31 21:29:01,30.8946,49.4092,295.01,12,0,1.13
100,Saskylakh,RU,2022-03-31 21:29:01,71.9167,114.0833,257.73,97,100,3.12
101,Pasni,PK,2022-03-31 21:29:01,25.2631,63.471,300.27,28,0,6.29
102,Codrington,AU,2022-03-31 21:29:02,-38.2667,141.9667,288.43,60,89,6.03
103,Barrow,US,2022-03-31 21:29:02,71.2906,-156.7887,249.16,77,20,9.77
104,Upland,US,2022-03-31 21:29:03,34.0975,-117.6484,295.84,66,100,5.14
105,Byron Bay,AU,2022-03-31 21:29:03,-28.65,153.6167,291.45,77,93,7.2
106,Pampas,PE,2022-03-31 21:29:03,-12.4,-74.9,286.35,78,95,1.95
107,Cabo San Lucas,MX,2022-03-31 21:29:04,22.8909,-109.9124,301.82,38,20,5.14
108,Galesong,ID,2022-03-31 21:29:04,-5.3166,119.3661,296.16,82,74,2.42
109,Rio Gallegos,AR,2022-03-31 21:29:04,-51.6226,-69.2181,290.18,29,0,4.63
110,Husavik,IS,2022-03-31 21:29:05,66.0449,-17.3389,273.47,97,100,1.06
